error_code,severity_level,severity_name,severity_color,required_action,max_downtime_min,subsystem_code,subsystem_name,mid,fault_category,title,description,probable_cause,diagnostic_steps,remedy,parameters,related_codes,num_params
SPN-CR-001,1,CRITICAL,RED,Immediate machine stop. Do not restart without authorised technician inspection.,480,SPN,Spindle Drive System,128,spindle_bearing_fault,Spindle Bearing Catastrophic Failure,Spindle bearing has reached catastrophic failure threshold. Vibration RMS on spindle exceeds 11.2 mm/s with kurtosis index >20. Continued operation risks spindle shaft damage and workpiece ejection.,"Bearing race spalling, loss of lubrication, contamination ingress, or end-of-life fatigue. May follow undetected progression through WN-060 and MN-061 warnings.",Stop spindle immediately and lock out/tag out | Measure bearing vibration with handheld analyser at spindle nose | Inspect spindle cooling lines for blockage | Check oil mist lubrication nozzle P040 | Review vibration trend log for P004 over prior 72 hours,Replace spindle bearing set. Re-grease per OEM specification. Run acceptance test program SPD-TEST-001 before production restart.,P001 | Spindle Speed [RPM] | normal: 100–8000 | critical: 0–8500 || P003 | Spindle Motor Temperature [°C] | normal: 20–75 | critical: 0–95 || P004 | Spindle Bearing Vibration [mm/s] | normal: 0–4.5 | critical: 0–11.2 || P005 | Spindle Torque [Nm] | normal: 0–120 | critical: 0–145,SPN-MJ-002 | VIB-WN-060 | VIB-MN-061,4
SPN-CR-002,1,CRITICAL,RED,Immediate machine stop. Do not restart without authorised technician inspection.,480,SPN,Spindle Drive System,128,spindle_bearing_fault,Spindle Drive Overcurrent — Hard Fault,Spindle drive current exceeded 145% of rated value for more than 200ms. Drive has tripped on hardware overcurrent protection. P002 read {val} % (limit 105%).,"Spindle motor short circuit, drive IGBT failure, or mechanical seizure of spindle bearings. Distinguish from thermal overcurrent SPN-MJ-005.",Do not reset drive until root cause identified | Check spindle motor insulation resistance (megger test) | Inspect drive power stage for burn marks | Verify no mechanical obstruction in spindle bore | Check P005 torque log for sudden spike event,Replace faulty drive module or motor depending on fault localisation. Verify DC bus voltage P090 is within spec before power-on.,P001 | Spindle Speed [RPM] | normal: 100–8000 | critical: 0–8500 || P002 | Spindle Load [%] | normal: 0–85 | critical: 0–105 || P005 | Spindle Torque [Nm] | normal: 0–120 | critical: 0–145,SPN-MJ-005 | ELC-CR-001 | SPN-CR-001,3
SPN-CR-003,1,CRITICAL,RED,Immediate machine stop. Do not restart without authorised technician inspection.,480,SPN,Spindle Drive System,128,actuator_fault,Spindle Orientation Failure — Tool Change Blocked,Spindle failed to reach orientation position within timeout (5 s). Orientation error P006 = {val} deg (limit ±0.5 deg). Tool change cycle aborted to prevent ATC arm collision.,"Encoder signal loss, orientation proximity switch failure, or mechanical brake malfunction.",Check spindle encoder cable continuity | Verify orientation switch target disk alignment | Inspect pneumatic brake actuation pressure | Test orientation cycle manually in JOG mode | Review parameter P082 for last NC block executed,Replace encoder or repair signal cable. Re-teach orientation position parameter. Re-run tool change acceptance cycle TCS-TEST-002.,P006 | Spindle Orientation Error [deg] | normal: -0.05–0.05 | critical: -0.5–0.5 || P001 | Spindle Speed [RPM] | normal: 100–8000 | critical: 0–8500,TCS-CR-001 | SPN-MJ-003 | CNC-MD-011,2
SPN-MJ-001,2,MAJOR,ORANGE,Stop current operation. Machine must be inspected before resuming production.,240,SPN,Spindle Drive System,128,spindle_bearing_fault,Spindle Motor Overtemperature,Spindle motor winding temperature P003 = {val} °C exceeds major threshold (85 °C). Thermal model predicts critical threshold (95 °C) in <15 minutes at current load.,"Cooling fan failure, blocked air filter, excessive duty cycle, or degraded motor winding insulation.",Check spindle cooling fan rotation | Inspect and clean air filter on motor housing | Verify coolant-through-spindle flow if equipped | Reduce spindle load P002 by lowering feed rate | Check ambient temperature P070,"Replace cooling fan motor. Clean filters. If repeated, check motor insulation class and compare to duty cycle.",P003 | Spindle Motor Temperature [°C] | normal: 20–75 | critical: 0–95 || P001 | Spindle Speed [RPM] | normal: 100–8000 | critical: 0–8500 || P002 | Spindle Load [%] | normal: 0–85 | critical: 0–105,SPN-CR-002 | THM-WN-070 | SPN-MN-006,3
SPN-MJ-002,2,MAJOR,ORANGE,Stop current operation. Machine must be inspected before resuming production.,240,SPN,Spindle Drive System,128,spindle_bearing_fault,Spindle Bearing Vibration — Major Threshold Exceeded,Spindle bearing vibration P004 = {val} mm/s exceeds ISO 10816-3 Zone C limit (7.1 mm/s). Kurtosis index P064 = {val2} indicates bearing defect frequency component present.,"Bearing inner or outer race defect, ball spall, or loss of preload. Consistent with tool_wear or spindle_bearing_fault events in operational data.","Capture vibration spectrum via on-machine sensor | Compare dominant frequency to bearing defect frequencies (BPFO, BPFI, BSF) | Check spindle thermal growth compensation active | Inspect tool holder for imbalance | Review trend for P004 over prior 30 days",Schedule spindle bearing replacement within 8 hours. Reduce spindle speed by 30% until replacement. Do not run over 6000 RPM.,P004 | Spindle Bearing Vibration [mm/s] | normal: 0–4.5 | critical: 0–11.2 || P063 | Vibration Crest Factor [-] | normal: 1.0–4.5 | critical: 0–12.0 || P064 | Kurtosis Index [-] | normal: 2.5–5.0 | critical: 0–25.0,SPN-CR-001 | VIB-MN-061 | SPN-SR-003,3
SPN-MJ-003,2,MAJOR,ORANGE,Stop current operation. Machine must be inspected before resuming production.,240,SPN,Spindle Drive System,128,tool_wear,Spindle Load Anomaly — Possible Tool Breakage,Spindle load P002 jumped from baseline by >40% within one NC block. P005 torque = {val} Nm. Pattern consistent with sudden tool breakage during milling operation.,"Tool fracture due to worn cutting edges, excessive depth of cut, incorrect tool material, or coolant failure at cutting zone.",Halt program and inspect tool in spindle | Check tool length with probe if available | Review P033 coolant level and P030 flow rate | Inspect workpiece surface for gouging | Review NC block G-code for programmed depth of cut,Replace broken or worn tool. Verify tool offset in tool table. Run first-off inspection before resuming production.,P002 | Spindle Load [%] | normal: 0–85 | critical: 0–105 || P005 | Spindle Torque [Nm] | normal: 0–120 | critical: 0–145 || P001 | Spindle Speed [RPM] | normal: 100–8000 | critical: 0–8500,CLS-SR-001 | SPN-WN-004 | TCS-MD-001,3
SPN-MJ-004,2,MAJOR,ORANGE,Stop current operation. Machine must be inspected before resuming production.,240,SPN,Spindle Drive System,128,chatter_vibration,Regenerative Chatter — Stability Limit Exceeded,Vibration pattern on X/Y/Z axes indicates regenerative chatter. Dominant frequency {val} Hz matches spindle-speed-to-tooth-passing ratio. Crest factor P063 = {val2}.,Operating at unstable depth-of-cut for current spindle speed and tool geometry. May worsen with tool wear.,Record dominant chatter frequency from vibration log | Apply stability lobe diagram for tool/fixture combination | Check workpiece clamping force | Inspect tool holder taper contact for fretting | Review programmed RPM P001 vs stability lobe chart,Adjust spindle speed by ±10% to shift operating point to stable lobe. Reduce axial depth of cut. Consider high-damping tool holder.,P060 | X-Axis Vibration RMS [mm/s] | normal: 0–4.5 | critical: 0–11.2 || P061 | Y-Axis Vibration RMS [mm/s] | normal: 0–4.5 | critical: 0–11.2 || P062 | Z-Axis Vibration RMS [mm/s] | normal: 0–4.5 | critical: 0–11.2 || P063 | Vibration Crest Factor [-] | normal: 1.0–4.5 | critical: 0–12.0,VIB-WN-060 | SPN-MJ-002 | AXS-MN-002,4
SPN-MJ-005,2,MAJOR,ORANGE,Stop current operation. Machine must be inspected before resuming production.,240,SPN,Spindle Drive System,128,spindle_bearing_fault,Spindle Drive Thermal Overcurrent,Drive reports thermal overcurrent condition. Motor current P002 sustained at {val}% for >60 s. Drive will shut down in {val2} s if condition persists.,"Excessive cutting load, incorrect feed/speed parameters, or degraded drive cooling.",Check drive heatsink temperature | Verify drive fan is operational | Inspect drive filter mat | Reduce programmed feed rate P083 | Verify tool geometry matches material,"Allow drive to cool (20 min minimum). Clean drive filters. If recurring, upgrade drive to next current rating.",P002 | Spindle Load [%] | normal: 0–85 | critical: 0–105 || P003 | Spindle Motor Temperature [°C] | normal: 20–75 | critical: 0–95 || P005 | Spindle Torque [Nm] | normal: 0–120 | critical: 0–145,SPN-CR-002 | THM-MD-001 | SPN-MJ-001,3
SPN-SR-001,3,SERIOUS,YELLOW,Complete current cycle then stop. Schedule maintenance within 4 hours.,120,SPN,Spindle Drive System,128,tool_wear,Spindle Load Gradually Increasing — Tool Wear Trend,Spindle load P002 shows monotonic increase of {val}% over last 50 tool engagements. Pattern consistent with progressive tool flank wear. Current load {val2}%.,Tool cutting edge wear beyond recommended tool life. Insufficient coolant delivery or incorrect cutting parameters accelerating wear.,Inspect cutting edge under 10× loupe | Compare current tool life to OEM recommendation | Check coolant concentration (refractometer) | Review chip formation — short chips indicate worn tool | Trend P002 on same operation across last 20 parts,Replace tool at next part completion. Update tool life counter in tool table. Optimise cutting parameters.,P002 | Spindle Load [%] | normal: 0–85 | critical: 0–105 || P005 | Spindle Torque [Nm] | normal: 0–120 | critical: 0–145 || P001 | Spindle Speed [RPM] | normal: 100–8000 | critical: 0–8500,SPN-MJ-003 | SPN-WN-004 | TCS-MD-001,3
SPN-SR-002,3,SERIOUS,YELLOW,Complete current cycle then stop. Schedule maintenance within 4 hours.,120,SPN,Spindle Drive System,128,spindle_bearing_fault,Spindle Speed Deviation — Encoder Signal Degraded,Actual spindle speed deviates from commanded speed by >{val} RPM for >500 ms. Encoder signal shows {val2} missing pulses per revolution.,"Encoder disc contamination, bearing play causing encoder misalignment, or encoder cable shield failure causing EMI.",Clean encoder disc with IPA | Check encoder mounting bolts torque | Inspect cable routing for pinch points | Measure signal quality on oscilloscope | Check cable shield continuity to ground,Clean or replace encoder. Re-route cable away from power cables. Re-commission speed loop.,P001 | Spindle Speed [RPM] | normal: 100–8000 | critical: 0–8500 || P006 | Spindle Orientation Error [deg] | normal: -0.05–0.05 | critical: -0.5–0.5,SPN-CR-003 | SPN-MJ-002 | CNC-MD-011,2
