instance_id,error_code,severity_level,severity_name,subsystem_code,subsystem_name,mid,fault_category,machine,operation_code,run_id,title,primary_param,primary_param_name,primary_param_unit,primary_value,normal_min,normal_max,critical_min,critical_max,all_pvalues_json,recommended_action,related_codes,real_x_rms,real_y_rms,real_z_rms,real_crest,real_kurtosis,source,complaint_case_id
1,SPN-SR-001,3,SERIOUS,SPN,Spindle Drive System,128,tool_wear,M01,OP01,M01_Aug_2019_OP01_000,Spindle Load Gradually Increasing — Tool Wear Trend,P002,Spindle Load,%,76.9,0.0,85.0,0.0,105.0,"{""P002"": 76.9, ""P005"": 26.785, ""P001"": 5918.123, ""P003"": 57.218, ""P004"": 4.015}",Complete current cycle then stop. Schedule maintenance within 4 hours.,SPN-MJ-003|SPN-WN-004|TCS-MD-001,447.872,230.683,1062.789,5.421,7.256,bosch_real_fault,CMP-2019-1000
2,SPN-MJ-003,2,MAJOR,SPN,Spindle Drive System,128,tool_wear,M01,OP01,M01_Aug_2019_OP01_000,Spindle Load Anomaly — Possible Tool Breakage,P002,Spindle Load,%,93.5,0.0,85.0,0.0,105.0,"{""P002"": 93.5, ""P005"": 50.631, ""P001"": 335.398, ""P003"": 32.025, ""P004"": 2.274}",Stop current operation. Machine must be inspected before resuming production.,CLS-SR-001|SPN-WN-004|TCS-MD-001,447.872,230.683,1062.789,5.421,7.256,bosch_real_fault,CMP-2019-1000
3,SPN-MN-001,5,MINOR,SPN,Spindle Drive System,128,tool_wear,M01,OP01,M01_Aug_2019_OP01_000,Spindle Load — Upper Advisory Threshold,P002,Spindle Load,%,43.3,0.0,85.0,0.0,105.0,"{""P002"": 43.3, ""P001"": 1670.817, ""P003"": 55.744}",Log fault. Monitor parameters. Schedule inspection at next planned maintenance.,SPN-MD-001|SPN-SR-001,447.872,230.683,1062.789,5.421,7.256,bosch_real_fault,CMP-2019-1000
4,SPN-MD-001,4,MODERATE,SPN,Spindle Drive System,128,tool_wear,M01,OP01,M01_Feb_2019_OP01_000,Spindle Load — Elevated Baseline,P002,Spindle Load,%,74.5,0.0,85.0,0.0,105.0,"{""P002"": 74.5, ""P005"": 97.132, ""P001"": 151.34, ""P003"": 64.32}",Log fault. Schedule maintenance within 24 hours. Reduce feed rate by 20%.,SPN-SR-001|SPN-WN-004,457.534,179.098,1061.411,5.149,6.495,bosch_real_fault,CMP-2019-1001
5,SPN-SR-001,3,SERIOUS,SPN,Spindle Drive System,128,tool_wear,M01,OP01,M01_Feb_2019_OP01_000,Spindle Load Gradually Increasing — Tool Wear Trend,P002,Spindle Load,%,84.1,0.0,85.0,0.0,105.0,"{""P002"": 84.1, ""P005"": 40.83, ""P001"": 1328.288, ""P003"": 72.647, ""P004"": 1.515}",Complete current cycle then stop. Schedule maintenance within 4 hours.,SPN-MJ-003|SPN-WN-004|TCS-MD-001,457.534,179.098,1061.411,5.149,6.495,bosch_real_fault,CMP-2019-1001
6,SPN-WN-003,6,WARNING,SPN,Spindle Drive System,128,tool_wear,M01,OP01,M01_Feb_2019_OP01_000,Tool Life Counter — Approaching Limit,P002,Spindle Load,%,45.3,0.0,85.0,0.0,105.0,"{""P002"": 45.3, ""P005"": 11.606, ""P001"": 6795.205, ""P003"": 53.205}",Log event. No immediate action required. Review at end of shift.,SPN-WN-001|TCS-NC-001,457.534,179.098,1061.411,5.149,6.495,bosch_real_fault,CMP-2019-1001
7,VIB-MD-001,4,MODERATE,VIB,Vibration Monitoring,144,tool_wear,M01,OP02,M01_Feb_2019_OP02_000,Crest Factor — Elevated Above Baseline,P063,Vibration Crest Factor,-,4.013,1.0,4.5,0.0,12.0,"{""P063"": 4.013, ""P064"": 4.933, ""P001"": 3090.422, ""P002"": 46.923}",Log fault. Schedule maintenance within 24 hours. Reduce feed rate by 20%.,SPN-SR-003|VIB-SR-001,409.186,400.804,1061.156,5.508,8.445,bosch_real_fault,CMP-2019-1002
8,AXS-MN-002,5,MINOR,AXS,Axis Servo System,130,chatter_vibration,M01,OP03,M01_Aug_2019_OP03_000,Axis Vibration — Minor Threshold,P060,X-Axis Vibration RMS,mm/s,2.553,0.0,4.5,0.0,11.2,"{""P060"": 2.553, ""P061"": 0.313, ""P062"": 2.976, ""P001"": 6207.24, ""P002"": 83.744}",Log fault. Monitor parameters. Schedule inspection at next planned maintenance.,SPN-MJ-004|AXS-SR-001,349.619,233.65,1058.637,6.95,11.425,bosch_real_fault,CMP-2019-1003
9,VIB-SR-001,3,SERIOUS,VIB,Vibration Monitoring,144,chatter_vibration,M01,OP03,M01_Aug_2019_OP03_000,Vibration — ISO Zone B Upper — Elevated,P060,X-Axis Vibration RMS,mm/s,4.595,0.0,4.5,0.0,11.2,"{""P060"": 4.595, ""P061"": 3.899, ""P062"": 1.711, ""P001"": 3681.941, ""P002"": 70.899}",Complete current cycle then stop. Schedule maintenance within 4 hours.,VIB-MJ-001|SPN-SR-003|AXS-SR-001,349.619,233.65,1058.637,6.95,11.425,bosch_real_fault,CMP-2019-1003
10,VIB-MJ-001,2,MAJOR,VIB,Vibration Monitoring,144,spindle_bearing_fault,M01,OP03,M01_Aug_2019_OP03_000,Vibration — ISO Zone C — Major Alert,P060,X-Axis Vibration RMS,mm/s,7.507,0.0,4.5,0.0,11.2,"{""P060"": 7.507, ""P061"": 1.599, ""P062"": 3.016, ""P063"": 3.456, ""P001"": 5500.027, ""P002"": 6.069}",Stop current operation. Machine must be inspected before resuming production.,VIB-CR-001|SPN-MJ-002|VIB-SR-001,349.619,233.65,1058.637,6.95,11.425,bosch_real_fault,CMP-2019-1003
11,SPN-MJ-002,2,MAJOR,SPN,Spindle Drive System,128,spindle_bearing_fault,M01,OP04,M01_Aug_2019_OP04_000,Spindle Bearing Vibration — Major Threshold Exceeded,P004,Spindle Bearing Vibration,mm/s,7.672,0.0,4.5,0.0,11.2,"{""P004"": 7.672, ""P063"": 2.618, ""P064"": 3.175, ""P001"": 7410.59, ""P002"": 58.494}",Stop current operation. Machine must be inspected before resuming production.,SPN-CR-001|VIB-MN-061|SPN-SR-003,428.463,300.112,1065.897,5.576,7.398,bosch_real_fault,CMP-2019-1004
12,SPN-SR-003,3,SERIOUS,SPN,Spindle Drive System,128,spindle_bearing_fault,M01,OP04,M01_Aug_2019_OP04_000,Bearing Kurtosis Threshold — Defect Initiation Detected,P004,Spindle Bearing Vibration,mm/s,4.023,0.0,4.5,0.0,11.2,"{""P004"": 4.023, ""P064"": 3.311, ""P001"": 6169.677, ""P002"": 4.755}",Complete current cycle then stop. Schedule maintenance within 4 hours.,SPN-MJ-002|SPN-CR-001|VIB-WN-060,428.463,300.112,1065.897,5.576,7.398,bosch_real_fault,CMP-2019-1004
13,VIB-MJ-001,2,MAJOR,VIB,Vibration Monitoring,144,spindle_bearing_fault,M01,OP04,M01_Aug_2019_OP04_000,Vibration — ISO Zone C — Major Alert,P060,X-Axis Vibration RMS,mm/s,8.832,0.0,4.5,0.0,11.2,"{""P060"": 8.832, ""P061"": 3.623, ""P062"": 1.805, ""P063"": 1.232, ""P001"": 7313.775, ""P002"": 48.21}",Stop current operation. Machine must be inspected before resuming production.,VIB-CR-001|SPN-MJ-002|VIB-SR-001,428.463,300.112,1065.897,5.576,7.398,bosch_real_fault,CMP-2019-1004
14,VIB-MJ-001,2,MAJOR,VIB,Vibration Monitoring,144,spindle_bearing_fault,M01,OP04,M01_Feb_2019_OP04_000,Vibration — ISO Zone C — Major Alert,P060,X-Axis Vibration RMS,mm/s,8.183,0.0,4.5,0.0,11.2,"{""P060"": 8.183, ""P061"": 3.981, ""P062"": 2.893, ""P063"": 1.5, ""P001"": 1203.08, ""P002"": 63.324}",Stop current operation. Machine must be inspected before resuming production.,VIB-CR-001|SPN-MJ-002|VIB-SR-001,441.155,220.752,1065.678,5.114,7.169,bosch_real_fault,CMP-2019-1005
